"","mock1","mock2","mock3","hrcc1","hrcc2","hrcc3"
"AT4G25720",36,30,33,95,19,51
"AT4G25730",268,306,247,393,158,308
"AT4G25740",62,50,99,49,44,68
"AT4G25770",24,26,70,42,11,123
"AT4G25800",15,24,17,2,30,26
"AT4G25810",35,45,39,56,56,92
"AT4G25830",15,22,17,7,13,10
"AT4G25835",46,44,29,121,50,160
"AT4G25840",22,16,75,53,30,130
"AT4G25845",6,19,2,41,44,74
"AT4G25870",7,9,23,17,13,17
"AT4G25880",100,95,91,81,111,125
"AT4G25890",44,40,60,77,59,75
"AT4G25900",87,79,98,141,94,252
"AT4G25910",33,66,90,31,72,45
"AT4G25940",70,46,147,69,62,190
"AT4G25960",41,45,139,60,29,70
"AT4G25970",102,72,161,120,44,165
"AT4G26000",60,58,57,50,48,84
"AT4G26050",2,21,0,28,65,20
"AT4G26060",43,21,64,69,30,82
"AT4G26070",40,23,179,63,17,154
"AT4G26080",415,285,152,458,219,297
"AT4G26100",50,51,93,46,63,113
"AT4G26110",142,198,222,128,89,308
"AT4G26130",284,312,1188,342,160,924
"AT4G26140",8,36,16,24,40,30
"AT4G26150",11,19,46,9,3,20
"AT4G26160",50,27,86,42,34,97
"AT4G26190",231,323,180,201,137,245
"AT4G26200",1,0,2,28,44,29
"AT4G26210",32,24,36,50,19,70
"AT4G26230",291,566,588,424,311,641
"AT4G26240",16,12,14,15,4,27
"AT4G26270",53,47,60,50,23,41
"AT4G26300",53,32,172,70,35,198
"AT4G26310",31,25,26,40,24,36
"AT4G26370",81,77,386,34,15,138
"AT4G26400",44,44,33,47,56,64
"AT4G26410",44,40,66,85,27,76
"AT4G26430",9,20,31,6,11,30
"AT4G26450",31,40,38,65,46,59
"AT4G26455",41,41,33,31,22,48
"AT4G26480",35,39,87,43,18,99
"AT4G26500",78,68,145,85,41,106
"AT4G26510",99,51,84,97,26,79
"AT4G26520",31,36,87,10,5,34
"AT4G26530",1057,899,2937,411,144,994
"AT4G26540",68,76,82,14,18,28
"AT4G26550",13,2,45,29,9,48
"AT4G26555",89,64,54,72,18,41
"AT4G26570",27,44,66,70,32,59
"AT4G26590",15,25,31,9,4,34
"AT4G26600",2,23,61,19,17,53
"AT4G26610",49,25,46,61,27,61
"AT4G26620",26,26,30,9,6,29
"AT4G26630",2010,2136,1370,1520,662,1595
"AT4G26640",49,39,148,53,24,148
"AT4G26650",27,62,72,38,47,83
"AT4G26670",81,64,181,67,28,124
"AT4G26690",278,193,486,237,201,579
"AT4G26700",132,109,191,94,50,160
"AT4G26710",193,129,389,164,94,357
"AT4G26720",15,46,74,46,32,86
"AT4G26750",176,150,181,194,134,345
"AT4G26760",21,5,26,13,14,11
"AT4G26780",30,55,70,55,31,94
"AT4G26840",73,69,218,110,96,180
"AT4G26850",272,219,375,295,117,287
"AT4G26860",57,47,38,37,8,18
"AT4G26870",78,76,118,94,67,143
"AT4G26900",73,74,62,67,18,65
"AT4G26910",108,85,355,316,149,620
"AT4G26940",30,52,89,82,34,176
"AT4G26965",24,29,26,48,22,32
"AT4G26970",227,169,667,783,373,1738
"AT4G26980",23,32,14,24,0,13
"AT4G26990",14,24,33,35,23,54
"AT4G27000",106,111,209,111,106,265
"AT4G27010",0,4,18,8,8,35
"AT4G27020",26,15,52,38,12,51
"AT4G27030",34,21,65,24,8,24
"AT4G27040",11,37,22,26,30,32
"AT4G27050",6,19,14,15,8,15
"AT4G27060",27,45,67,48,18,82
"AT4G27070",24,11,71,83,42,132
"AT4G27080",36,19,100,55,31,95
"AT4G27090",266,291,221,325,220,302
"AT4G27100",26,13,21,18,17,15
"AT4G27120",55,68,41,67,28,68
"AT4G27130",376,292,2109,963,528,1698
"AT4G27180",38,40,54,22,13,39
"AT4G27230",25,30,28,11,23,15
"AT4G27240",13,20,15,22,14,11
"AT4G27260",9,20,9,27,13,22
"AT4G27280",213,65,51,75,121,82
"AT4G27310",25,63,29,30,20,21
"AT4G27320",100,84,222,125,101,234
"AT4G27340",25,50,69,35,16,66
"AT4G27350",8,19,9,9,14,23
"AT4G27380",26,49,42,41,36,73
"AT4G27390",69,74,81,74,21,67
"AT4G27410",100,75,48,165,78,210
"AT4G27430",85,62,114,51,27,53
"AT4G27440",1186,974,5253,692,459,2657
"AT4G27450",141,50,16,63,39,32
"AT4G27470",114,64,312,170,114,357
"AT4G27500",446,407,1225,758,296,1956
"AT4G27520",995,1287,4254,954,828,2410
"AT4G27540",7,23,113,28,16,150
"AT4G27560",37,45,126,59,37,122
"AT4G27585",49,105,155,66,88,247
"AT4G27600",281,205,761,264,220,527
"AT4G27610",23,55,28,25,13,36
"AT4G27620",42,53,62,34,40,64
"AT4G27640",27,43,60,53,25,111
"AT4G27650",15,26,58,19,18,61
"AT4G27657",24,9,22,9,24,26
"AT4G27680",39,27,29,39,17,39
"AT4G27690",20,33,41,24,16,61
"AT4G27700",140,168,339,94,52,218
"AT4G27710",131,68,106,98,83,99
"AT4G27720",67,43,125,55,21,85
"AT4G27730",18,36,29,48,23,124
"AT4G27740",116,74,148,126,70,195
"AT4G27750",24,17,78,25,6,99
"AT4G27760",22,20,72,23,18,60
"AT4G27780",6,14,17,14,15,28
"AT4G27800",445,337,581,287,155,462
"AT4G27820",57,81,138,34,19,50
"AT4G27830",154,141,239,204,143,215
"AT4G27840",19,22,15,15,8,22
"AT4G27860",23,15,72,78,30,112
"AT4G27870",90,135,160,220,165,335
"AT4G27880",64,21,39,43,18,45
"AT4G27900",18,62,41,73,30,51
"AT4G27910",5,12,12,14,7,21
"AT4G27940",12,10,8,7,26,20
"AT4G27950",0,63,9,27,70,10
"AT4G27960",240,254,339,264,221,515
"AT4G27970",7,26,11,18,18,23
"AT4G27990",767,720,2326,936,728,1817
"AT4G28025",112,152,146,93,47,105
"AT4G28030",98,97,171,53,35,147
"AT4G28050",6,13,70,23,9,36
"AT4G28060",50,60,61,72,33,78
"AT4G28080",317,464,1092,178,114,554
"AT4G28085",15,7,6,48,15,36
"AT4G28100",22,63,116,66,28,110
"AT4G28140",41,104,199,103,66,376
"AT4G28150",4,91,14,27,23,48
"AT4G28180",15,24,40,21,8,32
"AT4G28190",11,12,6,7,12,0
"AT4G28200",34,14,31,34,24,43
"AT4G28210",16,45,69,17,4,46
"AT4G28220",4,11,16,13,14,19
"AT4G28240",95,66,41,52,12,28
"AT4G28260",31,44,55,78,49,88
"AT4G28270",42,38,101,46,115,148
"AT4G28290",66,25,36,57,68,63
"AT4G28300",546,472,1555,844,531,2627
"AT4G28350",126,154,32,204,124,218
"AT4G28360",17,21,35,11,12,20
"AT4G28370",26,29,31,52,13,45
"AT4G28390",17,7,21,25,22,26
"AT4G28400",73,58,90,71,49,133
"AT4G28440",71,46,50,48,32,62
"AT4G28450",12,22,48,35,18,65
"AT4G28470",58,35,94,65,54,115
"AT4G28480",82,84,134,182,66,240
"AT4G28490",51,32,119,96,39,169
"AT4G28510",55,20,92,20,37,90
"AT4G28540",77,32,97,60,48,159
"AT4G28550",26,22,25,41,22,43
"AT4G28570",144,129,148,231,88,269
"AT4G28590",11,26,37,7,13,34
"AT4G28600",14,50,36,52,57,54
"AT4G28610",67,46,147,60,54,164
"AT4G28630",34,22,84,57,29,145
"AT4G28650",9,3,18,9,16,22
"AT4G28660",183,213,1140,121,98,509
"AT4G28706",75,66,81,63,20,51
"AT4G28710",25,14,62,67,23,97
"AT4G28730",43,34,105,25,11,54
"AT4G28740",108,136,154,66,42,69
"AT4G28750",2543,1842,6407,1614,727,4384
"AT4G28760",79,60,98,24,24,76
"AT4G28770",55,61,54,63,42,60
"AT4G28830",9,16,22,11,1,20
"AT4G28850",8,82,0,14,39,5
"AT4G28860",82,55,119,77,44,169
"AT4G28880",69,58,129,81,55,179
"AT4G28910",69,88,174,160,90,224
"AT4G28980",24,29,23,53,13,37
"AT4G28990",12,11,52,24,5,54
"AT4G29000",9,29,20,49,20,38
"AT4G29010",311,274,423,355,241,506
"AT4G29020",15,36,12,14,8,14
"AT4G29040",743,617,381,1091,350,785
"AT4G29050",18,5,10,14,6,19
"AT4G29060",480,667,635,410,153,374
"AT4G29070",100,76,173,77,68,126
"AT4G29080",20,36,67,32,56,47
"AT4G29100",11,35,59,50,37,75
"AT4G29110",57,43,61,41,8,37
"AT4G29120",89,56,131,72,45,146
"AT4G29130",49,43,106,59,46,111
"AT4G29140",30,27,32,18,23,37
"AT4G29160",205,184,427,254,172,607
"AT4G29190",84,73,86,77,30,114
"AT4G29210",54,51,87,128,68,105
"AT4G29220",117,88,132,104,65,103
"AT4G29260",27,89,66,53,34,86
"AT4G29310",20,14,21,7,8,10
"AT4G29330",92,54,153,145,84,293
"AT4G29350",464,417,679,501,226,989
"AT4G29380",31,43,47,45,30,81
"AT4G29390",170,160,238,219,80,320
"AT4G29400",45,32,61,29,6,24
"AT4G29410",61,58,203,75,88,222
"AT4G29420",9,23,12,15,10,13
"AT4G29430",58,57,37,61,30,61
"AT4G29440",15,21,37,18,42,70
"AT4G29480",53,44,140,57,30,143
"AT4G29490",75,33,135,66,26,143
"AT4G29510",39,52,114,72,30,105
"AT4G29520",128,124,116,207,92,223
"AT4G29590",42,51,157,60,48,116
"AT4G29610",5,10,70,4,6,33
"AT4G29660",23,58,35,38,39,47
"AT4G29670",200,158,444,255,162,447
"AT4G29680",22,32,194,57,35,206
"AT4G29700",10,7,17,63,17,95
"AT4G29720",26,179,28,33,55,24
"AT4G29735",84,67,180,142,71,236
"AT4G29740",64,35,121,160,176,291
"AT4G29750",101,129,184,126,54,177
"AT4G29780",75,66,71,76,317,126
"AT4G29790",35,49,46,53,30,77
"AT4G29810",71,75,156,137,78,227
"AT4G29820",35,18,18,32,14,19
"AT4G29830",7,8,40,24,1,51
"AT4G29840",168,144,231,167,82,254
"AT4G29860",14,12,28,23,8,23
"AT4G29870",87,116,272,135,81,323
"AT4G29890",20,16,13,13,2,5
"AT4G29900",122,90,185,165,113,290
"AT4G29905",45,28,25,15,11,15
"AT4G29940",51,78,35,60,32,50
"AT4G29950",76,30,89,108,117,176
"AT4G29960",71,33,89,93,65,144
"AT4G30010",235,187,341,234,161,389
"AT4G30020",26,53,115,11,19,35
"AT4G30060",9,9,10,38,18,60
"AT4G30080",46,49,95,53,42,74
"AT4G30100",75,63,145,81,75,161
"AT4G30110",14,16,28,11,22,35
"AT4G30150",9,21,26,24,33,45
"AT4G30160",92,69,198,184,112,391
"AT4G30190",334,349,1026,2167,1252,5748
"AT4G30200",32,39,53,57,25,67
"AT4G30210",157,160,247,322,209,431
"AT4G30220",48,66,204,74,49,205
"AT4G30230",2,14,7,13,11,10
"AT4G30240",22,27,24,58,39,46
"AT4G30260",123,90,149,141,105,179
"AT4G30270",688,483,446,616,375,591
"AT4G30280",26,27,60,42,80,116
"AT4G30290",2,17,31,12,21,38
"AT4G30310",99,96,230,100,34,195
"AT4G30330",15,19,24,5,2,24
"AT4G30340",52,27,24,62,12,23
"AT4G30350",43,110,158,136,162,388
"AT4G30360",11,30,18,30,27,17
"AT4G30390",59,44,109,78,67,197
"AT4G30440",160,126,305,91,87,209
"AT4G30460",114,104,60,113,36,138
"AT4G30470",71,273,154,104,133,68
"AT4G30480",44,38,94,56,20,114
"AT4G30490",51,56,54,82,89,83
"AT4G30500",19,26,9,24,20,14
"AT4G30510",16,16,21,14,37,28
"AT4G30520",1,59,24,5,44,12
"AT4G30530",437,479,877,1288,474,1242
"AT4G30550",31,78,35,32,25,28
"AT4G30580",58,61,106,31,17,52
"AT4G30600",149,228,149,306,167,278
"AT4G30620",53,46,92,35,7,45
"AT4G30630",20,30,20,42,26,29
"AT4G30650",535,660,1231,606,497,697
"AT4G30660",207,184,183,141,38,220
"AT4G30690",373,293,864,230,154,437
"AT4G30710",11,11,33,11,16,15
"AT4G30720",30,51,85,20,12,34
"AT4G30750",68,40,171,68,26,154
"AT4G30760",19,50,62,49,40,63
"AT4G30780",22,40,55,58,41,91
"AT4G30790",50,46,63,23,26,60
"AT4G30800",4,6,23,16,2,33
"AT4G30810",57,66,168,104,36,180
"AT4G30820",23,21,9,8,9,19
"AT4G30825",7,27,29,12,7,18
"AT4G30840",1,19,29,13,17,30
"AT4G30850",2,21,7,4,7,22
"AT4G30890",46,27,79,62,36,95
"AT4G30900",19,17,42,38,17,50
"AT4G30910",22,24,28,28,16,30
"AT4G30920",166,169,307,136,93,257
"AT4G30930",19,32,71,37,14,86
"AT4G30935",22,47,52,40,12,59
"AT4G30950",258,215,944,205,120,591
"AT4G30960",250,255,161,247,90,165
"AT4G30980",11,35,45,15,43,34
"AT4G30990",21,46,51,66,34,80
"AT4G30993",92,52,127,46,26,46
"AT4G30996",33,20,41,25,20,38
"AT4G31000",52,35,20,28,19,30
"AT4G31010",3,12,34,7,12,45
"AT4G31040",193,108,208,170,79,146
"AT4G31050",19,15,17,5,9,10
"AT4G31080",27,55,103,85,38,110
"AT4G31115",40,26,44,14,22,20
"AT4G31120",9,19,71,18,17,77
"AT4G31130",58,44,84,68,52,121
"AT4G31140",21,30,11,24,16,10
"AT4G31150",13,10,22,8,16,15
"AT4G31160",75,82,113,60,68,186
"AT4G31170",174,165,239,212,87,269
"AT4G31180",89,60,187,131,65,166
"AT4G31200",41,30,87,45,32,107
"AT4G31210",39,23,83,45,22,71
"AT4G31240",11,21,5,8,16,11
"AT4G31290",174,88,393,80,45,229
"AT4G31300",225,183,418,275,165,500
"AT4G31310",35,19,17,6,3,8
"AT4G31340",118,143,396,214,124,661
"AT4G31350",22,16,16,14,15,18
"AT4G31360",14,22,15,23,9,15
"AT4G31390",84,80,123,97,71,132
"AT4G31410",4,14,29,24,27,37
"AT4G31420",83,73,78,69,33,89
"AT4G31430",18,32,46,17,10,41
"AT4G31450",54,24,69,65,24,66
"AT4G31460",4,18,37,25,22,41
"AT4G31480",136,95,188,145,121,241
"AT4G31490",61,66,172,105,62,249
"AT4G31500",673,427,1413,3118,922,3196
"AT4G31510",44,16,16,50,36,20
"AT4G31530",269,346,467,206,125,319
"AT4G31540",25,29,26,34,23,24
"AT4G31550",149,97,91,403,265,432
"AT4G31560",117,152,220,94,46,155
"AT4G31570",12,33,63,51,17,102
"AT4G31580",93,70,171,120,90,207
"AT4G31590",29,20,38,43,6,22
"AT4G31600",38,22,23,19,9,34
"AT4G31650",11,5,26,21,7,21
"AT4G31670",23,26,27,52,21,40
"AT4G31700",165,143,242,169,78,303
"AT4G31720",34,34,38,25,16,34
"AT4G31750",30,24,63,49,24,94
"AT4G31770",10,11,29,19,18,47
"AT4G31780",324,286,621,413,284,1096
"AT4G31790",14,12,45,29,22,52
"AT4G31800",289,198,445,479,218,647
"AT4G31810",4,8,27,4,8,48
"AT4G31820",67,119,84,146,82,185
"AT4G31850",61,34,79,21,9,33
"AT4G31860",115,96,154,233,70,180
"AT4G31880",56,26,78,61,41,76
"AT4G31920",39,27,51,53,38,93
"AT4G31930",2,19,21,10,14,26
"AT4G31980",47,23,32,70,33,88
"AT4G31985",78,83,132,63,53,154
"AT4G31990",236,223,285,208,64,295
"AT4G32010",34,40,106,74,52,133
"AT4G32020",715,569,997,1026,727,1396
"AT4G32030",41,48,53,40,36,60
"AT4G32040",107,105,222,138,85,263
"AT4G32050",19,24,13,16,6,22
"AT4G32060",260,300,314,429,257,409
"AT4G32070",163,137,180,229,84,284
"AT4G32120",9,7,33,19,4,33
"AT4G32130",27,44,96,60,34,124
"AT4G32140",21,27,53,32,21,63
"AT4G32150",168,139,148,126,78,163
"AT4G32160",26,37,35,16,33,35
"AT4G32180",67,106,98,132,87,148
"AT4G32190",69,100,79,83,54,61
"AT4G32240",49,84,54,60,31,59
"AT4G32250",45,34,27,38,13,44
"AT4G32260",6914,6098,18800,5494,4441,10969
"AT4G32270",53,62,59,30,26,56
"AT4G32272",7,19,23,20,11,15
"AT4G32285",95,85,218,175,89,367
"AT4G32290",4,114,69,82,97,83
"AT4G32300",48,33,55,34,33,98
"AT4G32320",31,29,57,17,9,40
"AT4G32330",201,194,335,173,113,221
"AT4G32340",480,400,474,229,112,284
"AT4G32350",13,54,23,17,21,27
"AT4G32360",15,38,61,36,31,60
"AT4G32390",107,101,275,151,85,331
"AT4G32400",49,43,111,80,41,122
"AT4G32410",445,462,944,441,216,822
"AT4G32420",22,22,64,31,7,74
"AT4G32440",10,10,18,11,6,17
"AT4G32470",146,135,195,169,86,190
"AT4G32480",54,63,42,50,63,129
"AT4G32520",78,91,412,103,69,391
"AT4G32530",299,278,191,265,106,289
"AT4G32551",70,46,105,79,67,169
"AT4G32560",20,18,11,15,8,8
"AT4G32570",35,72,94,29,29,38
"AT4G32590",162,164,387,146,96,338
"AT4G32600",67,37,144,106,76,106
"AT4G32605",31,35,19,24,24,10
"AT4G32610",125,94,129,94,43,147
"AT4G32620",28,23,44,33,20,57
"AT4G32640",76,84,229,159,83,418
"AT4G32650",15,18,11,72,63,128
"AT4G32660",27,50,68,70,16,78
"AT4G32670",12,16,23,5,13,22
"AT4G32680",37,50,161,90,42,186
"AT4G32690",22,18,37,21,10,54
"AT4G32720",89,96,94,104,53,159
"AT4G32730",5,24,25,17,27,38
"AT4G32760",158,194,550,267,162,842
"AT4G32770",104,83,133,43,17,97
"AT4G32790",17,16,14,19,4,15
"AT4G32800",58,41,191,73,61,175
"AT4G32820",12,27,46,25,16,41
"AT4G32850",124,101,147,158,71,164
"AT4G32850.2",130,102,156,176,73,164
"AT4G32870",57,25,36,132,46,163
"AT4G32880",17,5,61,18,21,42
"AT4G32900",19,79,80,24,47,68
"AT4G32910",20,21,39,10,5,44
"AT4G32915",37,94,28,31,23,33
"AT4G32920",9,24,27,39,44,56
"AT4G32930",52,30,28,23,13,33
"AT4G32940",554,339,703,524,239,736
"AT4G32960",41,27,33,42,42,70
"AT4G32980",40,49,75,22,13,29
"AT4G33000",23,15,18,7,6,15
"AT4G33010",1533,1502,5585,994,645,3409
"AT4G33030",72,36,164,48,42,103
"AT4G33050",286,145,230,684,399,520
"AT4G33060",31,31,23,34,14,40
"AT4G33080",167,128,148,112,46,182
"AT4G33090",241,260,342,255,161,387
"AT4G33110",27,28,51,34,10,31
"AT4G33140",15,13,65,26,20,82
"AT4G33150",62,50,39,73,52,81
"AT4G33160",12,3,16,21,21,22
"AT4G33180",31,18,61,36,10,76
"AT4G33200",33,31,42,41,18,62
"AT4G33210",30,28,54,32,14,72
"AT4G33220",90,88,119,67,39,84
"AT4G33240",57,58,78,86,46,90
"AT4G33250",92,91,169,88,73,216
"AT4G33300",296,179,537,351,174,678
"AT4G33310",4,12,31,3,18,32
"AT4G33350",195,238,1627,216,143,1063
"AT4G33360",19,20,69,38,19,83
"AT4G33380",127,127,156,75,52,89
"AT4G33400",15,2,19,10,4,25
"AT4G33410",17,23,45,27,20,42
"AT4G33430",88,87,173,294,129,399
"AT4G33440",10,53,14,16,31,8
"AT4G33460",12,35,29,18,17,27
"AT4G33467",374,357,214,232,248,292
"AT4G33470",65,80,134,58,30,57
"AT4G33480",110,152,318,105,59,245
"AT4G33490",55,53,108,36,9,54
"AT4G33495",10,9,79,27,15,115
"AT4G33500",50,33,51,35,44,37
"AT4G33510",669,603,3412,1137,497,3823
"AT4G33520",72,66,147,62,38,184
"AT4G33530",72,83,277,101,56,288
"AT4G33540",321,297,249,283,169,297
"AT4G33560",18,60,40,26,12,32
"AT4G33565",57,53,28,72,29,37
"AT4G33580",56,74,120,61,26,95
"AT4G33620",23,12,22,11,6,25
"AT4G33625",63,71,288,53,33,108
"AT4G33630",109,132,245,86,56,220
"AT4G33640",63,59,50,51,39,63
"AT4G33650",77,31,80,69,42,130
"AT4G33660",63,84,266,29,35,110
"AT4G33666",130,118,142,84,70,99
"AT4G33670",57,66,54,56,24,36
"AT4G33680",72,95,260,109,68,281
"AT4G33690",29,28,14,28,12,24
"AT4G33700",80,56,104,54,42,70
"AT4G33740",167,109,130,131,46,104
"AT4G33760",38,37,131,31,20,122
"AT4G33770",10,8,10,16,8,17
"AT4G33780",110,61,297,193,118,360
"AT4G33865",175,128,434,133,131,487
"AT4G33890",13,45,15,45,24,30
"AT4G33910",50,43,57,98,48,90
"AT4G33920",96,96,122,123,43,207
"AT4G33940",76,49,48,62,30,81
"AT4G33945",26,13,22,28,17,29
"AT4G33950",37,38,51,37,27,39
"AT4G33960",70,97,22,22,42,16
"AT4G33980",219,230,145,204,101,137
"AT4G33985",21,21,23,16,15,22
"AT4G34000",45,110,26,23,30,29
"AT4G34020",29,31,39,17,4,39
"AT4G34030",98,78,85,65,29,71
"AT4G34040",44,38,117,45,34,137
"AT4G34050",376,310,390,1056,548,1006
"AT4G34070",10,31,13,44,8,43
"AT4G34090",95,97,93,28,11,58
"AT4G34100",193,131,237,197,93,418
"AT4G34110",467,467,885,722,396,1405
"AT4G34120",678,669,537,1317,806,1028
"AT4G34131",77,50,43,110,82,137
"AT4G34135",61,104,54,156,65,130
"AT4G34138",522,467,172,229,143,253
"AT4G34140",99,54,47,47,25,46
"AT4G34150",555,421,533,595,629,1645
"AT4G34180",447,294,716,939,509,2419
"AT4G34190",258,262,688,188,105,439
"AT4G34200",107,75,208,333,178,647
"AT4G34215",39,62,54,45,30,85
"AT4G34220",61,24,101,17,16,34
"AT4G34230",800,763,610,1736,1006,1340
"AT4G34240",165,169,246,156,80,273
"AT4G34250",5,12,9,12,12,7
"AT4G34260",77,51,49,6,27,47
"AT4G34265",79,95,152,81,49,170
"AT4G34270",64,49,97,55,41,103
"AT4G34280",17,35,28,23,23,24
"AT4G34290",32,59,193,20,18,101
"AT4G34310",21,10,58,26,10,85
"AT4G34350",496,451,439,304,132,367
"AT4G34370",19,16,29,20,25,32
"AT4G34390",40,48,63,86,73,118
"AT4G34412",5,20,15,21,14,25
"AT4G34430",27,49,51,62,16,119
"AT4G34450",338,274,407,452,257,711
"AT4G34460",186,145,504,254,194,441
"AT4G34480",204,144,203,138,70,130
"AT4G34490",84,48,83,70,27,69
"AT4G34540",9,35,33,52,26,55
"AT4G34555",9,22,64,37,32,84
"AT4G34560",10,21,33,21,17,14
"AT4G34570",14,11,17,14,10,12
"AT4G34610",19,40,23,17,19,15
"AT4G34620",264,329,161,135,75,116
"AT4G34630",68,71,90,74,24,114
"AT4G34640",70,73,64,36,44,88
"AT4G34660",31,20,42,61,25,73
"AT4G34670",292,396,603,571,355,816
"AT4G34700",326,238,367,432,173,463
"AT4G34710",347,262,426,625,218,693
"AT4G34720",297,270,434,257,283,491
"AT4G34730",69,73,135,44,38,75
"AT4G34740",61,69,108,66,56,126
"AT4G34750",21,21,10,7,21,5
"AT4G34760",62,76,14,7,21,6
"AT4G34830",82,81,168,87,59,115
"AT4G34870",260,295,847,362,253,679
"AT4G34881",40,35,32,50,24,29
"AT4G34890",106,70,124,155,49,192
"AT4G34900",13,20,23,8,7,9
"AT4G34910",2,9,68,18,18,51
"AT4G34920",196,207,308,214,196,320
"AT4G34950",524,839,1727,466,239,969
"AT4G34960",28,16,30,28,19,26
"AT4G34980",65,61,178,33,31,77
"AT4G34990",14,20,13,18,8,11
"AT4G35000",251,271,373,237,104,284
"AT4G35020",18,34,22,16,5,9
"AT4G35040",35,46,37,19,24,48
"AT4G35050",4,1,13,19,9,21
"AT4G35060",20,59,43,55,51,67
"AT4G35080",33,47,129,72,80,190
"AT4G35090",661,552,2037,341,352,1728
"AT4G35100",297,216,355,59,50,99
"AT4G35110",80,65,50,110,88,105
"AT4G35140",25,14,10,12,6,18
"AT4G35160",40,63,68,148,49,317
"AT4G35165",8,0,11,19,15,70
"AT4G35180",22,28,31,116,56,151
"AT4G35220",55,101,113,52,42,158
"AT4G35230",108,85,123,131,54,242
"AT4G35240",17,50,74,16,22,44
"AT4G35250",156,143,181,80,58,108
"AT4G35260",63,40,77,95,35,115
"AT4G35270",4,9,46,17,14,31
"AT4G35300",98,82,173,47,38,90
"AT4G35310",196,152,630,326,125,735
"AT4G35320",37,47,87,27,27,44
"AT4G35335",36,29,40,26,29,27
"AT4G35350",32,62,72,22,46,98
"AT4G35360",71,67,253,142,80,347
"AT4G35420",12,12,12,6,10,4
"AT4G35440",11,4,30,20,2,14
"AT4G35450",361,316,340,269,167,250
"AT4G35460",9,45,40,23,33,39
"AT4G35470",65,46,66,27,35,31
"AT4G35480",100,106,304,206,195,664
"AT4G35490",41,30,92,62,20,136
"AT4G35500",2,28,10,19,21,18
"AT4G35510",49,95,62,91,36,96
"AT4G35530",45,30,18,8,17,8
"AT4G35540",9,34,13,12,22,15
"AT4G35550",26,33,21,17,4,21
"AT4G35560",7,15,12,11,13,2
"AT4G35570",86,99,179,75,59,137
"AT4G35580",302,305,215,370,116,383
"AT4G35600",68,35,72,69,55,99
"AT4G35630",123,141,411,767,220,1004
"AT4G35750",419,359,315,442,238,381
"AT4G35760",66,66,102,36,24,46
"AT4G35770",113,85,39,116,71,99
"AT4G35780",42,39,56,22,23,39
"AT4G35783",6,31,8,11,11,4
"AT4G35785",38,28,74,76,30,84
"AT4G35790",99,135,303,213,102,378
"AT4G35800",237,257,516,367,173,607
"AT4G35830",591,455,868,752,386,1259
"AT4G35840",18,40,19,30,45,13
"AT4G35850",32,30,59,25,14,69
"AT4G35860",109,86,332,128,74,474
"AT4G35870",5,22,37,17,13,41
"AT4G35880",18,11,25,14,7,21
"AT4G35890",125,165,240,173,116,342
"AT4G35920",30,33,114,24,20,36
"AT4G35930",7,4,37,12,7,22
"AT4G35940",15,18,14,11,16,40
"AT4G35950",14,74,57,34,11,26
"AT4G35985",62,49,27,30,46,59
"AT4G35987",15,3,19,14,2,11
"AT4G36010",86,74,224,72,51,172
"AT4G36020",14,30,37,41,16,61
"AT4G36030",28,12,51,59,6,104
"AT4G36040",1021,592,1555,1177,852,1847
"AT4G36080",27,7,29,20,16,42
"AT4G36090",36,55,84,58,32,135
"AT4G36130",69,73,204,85,44,281
"AT4G36140",8,13,29,20,16,33
"AT4G36150",11,3,22,13,9,21
"AT4G36190",49,82,79,40,15,44
"AT4G36195",80,64,303,125,69,331
"AT4G36210",111,54,150,187,75,148
"AT4G36220",205,192,814,579,442,1453
"AT4G36230",14,44,21,39,32,17
"AT4G36250",311,256,552,267,125,410
"AT4G36290",17,11,26,21,13,16
"AT4G36360",55,99,122,42,25,45
"AT4G36380",5,61,22,9,11,14
"AT4G36390",99,97,429,149,121,438
"AT4G36400",81,73,75,129,56,86
"AT4G36410",51,51,33,42,87,39
"AT4G36420",29,26,18,45,15,34
"AT4G36430",0,7,1,17,8,55
"AT4G36440",19,37,62,36,19,55
"AT4G36480",45,42,79,22,51,113
"AT4G36500",272,255,200,420,192,404
"AT4G36515",13,28,22,16,7,29
"AT4G36520",104,114,136,148,67,197
"AT4G36530",63,94,90,60,47,55
"AT4G36540",77,38,74,13,21,28
"AT4G36550",37,27,26,15,15,14
"AT4G36570",10,18,31,6,2,25
"AT4G36630",25,64,50,49,26,72
"AT4G36640",39,27,34,71,73,93
"AT4G36648",187,234,291,404,234,455
"AT4G36650",15,20,58,50,45,106
"AT4G36660",36,38,23,21,14,12
"AT4G36670",194,134,116,1274,609,1413
"AT4G36680",28,26,97,62,56,268
"AT4G36690",142,250,167,174,126,175
"AT4G36710",37,85,87,62,53,114
"AT4G36720",1,5,28,19,13,31
"AT4G36730",95,63,148,139,103,214
"AT4G36750",87,192,95,139,55,200
"AT4G36760",173,181,453,254,114,510
"AT4G36780",114,169,424,231,111,531
"AT4G36790",15,30,22,48,8,31
"AT4G36800",285,280,242,313,163,288
"AT4G36810",272,298,417,268,163,395
"AT4G36830",6,21,101,19,24,63
"AT4G36840",8,11,20,29,15,36
"AT4G36860",33,23,18,33,25,33
"AT4G36870",100,87,146,74,47,113
"AT4G36890",50,34,49,57,21,65
"AT4G36900",38,37,74,45,39,140
"AT4G36920",35,39,36,47,47,30
